X,CH1,CH2,
Second,Volt,Volt,
6.00000e-06,-3.20e+00,5.00e-02,
7.00000e-06,-3.12e+00,5.20e-02,
8.00000e-06,-3.20e+00,5.20e-02,
9.00000e-06,-3.12e+00,5.40e-02,
1.00000e-05,-3.12e+00,5.40e-02,
1.10000e-05,-3.20e+00,5.00e-02,
1.20000e-05,-3.20e+00,5.20e-02,
1.30000e-05,-3.04e+00,5.40e-02,
1.40000e-05,-3.12e+00,5.20e-02,
1.50000e-05,-3.04e+00,5.00e-02,
1.60000e-05,-3.04e+00,5.20e-02,
1.70000e-05,-3.12e+00,5.40e-02,
1.80000e-05,-3.04e+00,5.00e-02,
1.90000e-05,-3.12e+00,5.40e-02,
2.00000e-05,-3.12e+00,5.20e-02,
2.10000e-05,-3.04e+00,5.20e-02,
2.20000e-05,-3.04e+00,5.20e-02,
2.30000e-05,-3.04e+00,4.80e-02,
2.40000e-05,-3.04e+00,5.00e-02,
2.50000e-05,-3.04e+00,5.20e-02,
2.60000e-05,-3.04e+00,5.20e-02,
2.70000e-05,-2.96e+00,5.00e-02,
2.80000e-05,-3.04e+00,5.00e-02,
2.90000e-05,-2.96e+00,5.20e-02,
3.00000e-05,-2.96e+00,5.20e-02,
3.10000e-05,-3.04e+00,5.00e-02,
3.20000e-05,-3.04e+00,5.20e-02,
3.30000e-05,-2.96e+00,5.00e-02,
3.40000e-05,-2.96e+00,5.20e-02,
3.50000e-05,-3.04e+00,5.00e-02,
3.60000e-05,-3.04e+00,5.00e-02,
3.70000e-05,-2.96e+00,5.20e-02,
3.80000e-05,-2.96e+00,5.20e-02,
3.90000e-05,-2.96e+00,5.00e-02,
4.00000e-05,-2.96e+00,5.20e-02,
4.10000e-05,-2.96e+00,5.00e-02,
4.20000e-05,-2.96e+00,5.20e-02,
4.30000e-05,-2.96e+00,5.00e-02,
4.40000e-05,-2.96e+00,5.00e-02,
4.50000e-05,-2.96e+00,5.20e-02,
4.60000e-05,-2.96e+00,5.20e-02,
4.70000e-05,-2.88e+00,5.00e-02,
4.80000e-05,-2.96e+00,5.00e-02,
4.90000e-05,-2.88e+00,5.00e-02,
5.00000e-05,-2.96e+00,5.20e-02,
5.10000e-05,-2.96e+00,4.80e-02,
5.20000e-05,-2.96e+00,4.80e-02,
5.30000e-05,-2.88e+00,5.20e-02,
5.40000e-05,-2.88e+00,5.20e-02,
5.50000e-05,-2.96e+00,5.00e-02,
5.60000e-05,-2.96e+00,5.20e-02,
5.70000e-05,-2.88e+00,4.80e-02,
5.80000e-05,-2.96e+00,5.20e-02,
5.90000e-05,-2.88e+00,4.80e-02,
6.00000e-05,-2.88e+00,5.00e-02,
6.10000e-05,-2.96e+00,4.80e-02,
6.20000e-05,-2.88e+00,5.20e-02,
6.30000e-05,-2.88e+00,4.80e-02,
6.40000e-05,-2.80e+00,4.80e-02,
6.50000e-05,-2.88e+00,5.00e-02,
6.60000e-05,-2.88e+00,4.80e-02,
6.70000e-05,-2.88e+00,5.20e-02,
6.80000e-05,-2.88e+00,4.80e-02,
6.90000e-05,-2.80e+00,5.00e-02,
7.00000e-05,-2.88e+00,4.80e-02,
7.10000e-05,-2.80e+00,5.20e-02,
7.20000e-05,-2.80e+00,5.00e-02,
7.30000e-05,-4.40e+00,-2.20e-02,
7.40000e-05,-4.00e+00,-1.40e-02,
7.50000e-05,-4.24e+00,-2.60e-02,
7.60000e-05,-4.24e+00,-2.80e-02,
7.70000e-05,-4.32e+00,-3.20e-02,
7.80000e-05,-4.32e+00,-3.20e-02,
7.90000e-05,-4.40e+00,-3.60e-02,
8.00000e-05,-4.32e+00,-3.60e-02,
8.10000e-05,-4.48e+00,-3.40e-02,
8.20000e-05,-4.48e+00,-3.40e-02,
8.30000e-05,-4.40e+00,-3.80e-02,
8.40000e-05,-4.48e+00,-3.60e-02,
8.50000e-05,-4.40e+00,-3.40e-02,
8.60000e-05,-4.56e+00,-3.60e-02,
8.70000e-05,-4.40e+00,-3.40e-02,
8.80000e-05,-4.56e+00,-3.40e-02,
8.90000e-05,-4.48e+00,-3.80e-02,
9.00000e-05,-4.48e+00,-3.40e-02,
9.10000e-05,-4.56e+00,-3.80e-02,
9.20000e-05,-4.48e+00,-3.40e-02,
9.30000e-05,-4.56e+00,-3.80e-02,
9.40000e-05,-4.56e+00,-3.40e-02,
9.50000e-05,-4.48e+00,-3.80e-02,
9.60000e-05,-4.56e+00,-3.40e-02,
9.70000e-05,-4.48e+00,-3.80e-02,
9.80000e-05,-4.56e+00,-3.60e-02,
9.90000e-05,-4.48e+00,-3.40e-02,
1.00000e-04,-4.56e+00,-3.40e-02,
1.01000e-04,-4.48e+00,-3.60e-02,
1.02000e-04,-4.56e+00,-3.60e-02,
1.03000e-04,-4.56e+00,-3.40e-02,
1.04000e-04,-4.56e+00,-3.40e-02,
1.05000e-04,-4.56e+00,-3.60e-02,
1.06000e-04,-4.56e+00,-3.60e-02,
1.07000e-04,-4.56e+00,-3.40e-02,
1.08000e-04,-4.56e+00,-3.60e-02,
1.09000e-04,-4.56e+00,-3.40e-02,
1.10000e-04,-4.56e+00,-3.40e-02,
1.11000e-04,-4.64e+00,-3.60e-02,
1.12000e-04,-4.64e+00,-3.40e-02,
1.13000e-04,-4.56e+00,-3.80e-02,
1.14000e-04,-4.56e+00,-3.40e-02,
1.15000e-04,-4.64e+00,-3.60e-02,
1.16000e-04,-4.64e+00,-3.60e-02,
1.17000e-04,-4.56e+00,-3.40e-02,
1.18000e-04,-4.56e+00,-3.60e-02,
1.19000e-04,-4.64e+00,-3.20e-02,
1.20000e-04,-4.64e+00,-3.60e-02,
