X,CH1,CH2,
Second,Volt,Volt,
-7.00000e-08,-1.12e+00,4.00e-03,
-6.00000e-08,-8.80e-01,4.00e-03,
-5.00000e-08,-5.60e-01,8.00e-03,
-4.00000e-08,-3.20e-01,8.00e-03,
-3.00000e-08,0.00e+00,8.00e-03,
-2.00000e-08,3.20e-01,8.00e-03,
-1.00000e-08,6.40e-01,8.00e-03,
0.00000e+00,8.80e-01,8.00e-03,
1.00000e-08,1.12e+00,1.20e-02,
2.00000e-08,1.28e+00,1.20e-02,
3.00000e-08,1.44e+00,1.20e-02,
4.00000e-08,1.52e+00,1.20e-02,
5.00000e-08,1.52e+00,1.20e-02,
6.00000e-08,1.52e+00,1.20e-02,
7.00000e-08,1.36e+00,1.20e-02,
8.00000e-08,1.20e+00,8.00e-03,
9.00000e-08,1.04e+00,1.20e-02,
1.00000e-07,8.00e-01,1.20e-02,
1.10000e-07,5.60e-01,8.00e-03,
1.20000e-07,2.40e-01,8.00e-03,
1.30000e-07,-7.99e-02,8.00e-03,
1.40000e-07,-3.20e-01,8.00e-03,
1.50000e-07,-6.40e-01,4.00e-03,
1.60000e-07,-9.60e-01,4.00e-03,
1.70000e-07,-1.12e+00,4.00e-03,
1.80000e-07,-1.44e+00,4.00e-03,
1.90000e-07,-1.52e+00,4.00e-03,
2.00000e-07,-1.68e+00,4.00e-03,
2.10000e-07,-1.68e+00,4.00e-03,
2.20000e-07,-1.68e+00,0.00e+00,
2.30000e-07,-1.68e+00,4.00e-03,
2.40000e-07,-1.52e+00,4.00e-03,
2.50000e-07,-1.36e+00,4.00e-03,
2.60000e-07,-1.20e+00,4.00e-03,
2.70000e-07,-9.60e-01,4.00e-03,
2.80000e-07,-7.20e-01,8.00e-03,
2.90000e-07,-4.00e-01,8.00e-03,
3.00000e-07,-7.99e-02,8.00e-03,
3.10000e-07,2.40e-01,8.00e-03,
3.20000e-07,5.60e-01,8.00e-03,
3.30000e-07,8.00e-01,8.00e-03,
3.40000e-07,1.04e+00,8.00e-03,
3.50000e-07,1.20e+00,1.20e-02,
3.60000e-07,1.36e+00,1.20e-02,
3.70000e-07,1.52e+00,1.20e-02,
